MX	+3232-11701	America/Tijuana	Pacific Time

# MCC=401, Kazakhstan (KZ), many zones, two major:
KZ	+4315+07657	Asia/Almaty	most locations
KZ	+5113+05121	Asia/Oral	West Kazakhstan

# MCC=428, Mongolia (MN). Has 3 Olson names
# Choibalsan seems to use Ulaanbaatar time
MN	+4755+10653	Asia/Ulaanbaatar	most locations
MN	+4801+09139	Asia/Hovd	Bayan-Olgiy, Govi-Altai, Hovd, Uvs, Zavkhan

# MCC=505, Australia (AU) has 12 zones
# but it seems to be 4 major in winter and 5 in summer.
# List them East to West:
AU	-3749+14458	Australia/Melbourne	Victoria
AU	-3455+13835	Australia/Adelaide	South Australia
AU	-2728+15302	Australia/Brisbane	Queensland - most locations
AU	-1228+13050	Australia/Darwin	Northern Territory
AU	-3157+11551	Australia/Perth	Western Australia - most locations

# MCC=510, Indonesia (ID)
ID	-0610+10648	Asia/Jakarta	Java & Sumatra
ID	-0507+11924	Asia/Makassar	east & south Borneo, Celebes, Bali, Nusa Tengarra, west Timor
ID	-0232+14042	Asia/Jayapura	Irian Jaya & the Moluccas

# MCC=530, New Zeeland, 2 distinct Olson names
NZ	-3652+17446	Pacific/Auckland	most locations
NZ	-4357-17633	Pacific/Chatham	Chatham Islands

# MCC=545, Kiribati (KI), 3 distinct Olson names
KI	+0125+17300	Pacific/Tarawa	Gilbert Islands
KI	-0308-17105	Pacific/Enderbury	Phoenix Islands
KI	+0152-15720	Pacific/Kiritimati	Line Islands

# MCC=547, French Pacific (PF), 3 distinct Olson Names
PF	-1732-14934	Pacific/Tahiti	Society Islands
PF	-0900-13930	Pacific/Marquesas	Marquesas Islands
PF	-2308-13457	Pacific/Gambier	Gambier Islands

# MCC=550, Micronesia (FM), 3 distinct Olson Names
# "Ponape" and "Truk" are names from 2008-h
# "Pohnpei" and "Chuuk" nowadays (2011-b)
FM	+0725+15147	Pacific/Chuuk	Truk (Chuuk) and Yap
FM	+0658+15813	Pacific/Pohnpei	Ponape (Pohnpei)
# Kosrae seems to be the zone as Ponape
# FM	+0519+16259	Pacific/Kosrae	Kosrae

# MCC=722, Argentina (AR), many Olson names, 2 major
AR	-3436-05827	America/Argentina/Buenos_Aires	Buenos Aires (BA, CF)
# TODO: unkomment it since 2009 AR	-3319-06621	America/Argentina/San_Luis	San Luis (SL)

# MCC=724, Brazilia (BR), many zones, totaly weird
# 3 in summer, 3 in winter, but 5 combinations.
# America/Noronha   Sun Apr 12 18:30:00 FNT 2009     Fir Feb 13 21:30:00 FNT 2009
#
# America/Belem   Sun Apr 12 17:30:00 BRT 2009     Fri Feb 13 20:30:00 BRT 2009
# America/Fortaleza
# America/Recife
# America/Araguaina
# America/Maceio
# America/Bahia
# America/Santarem
#
# America/Sao_Paulo Sun Apr 12 17:30:00 BRT 2009     Fri Feb 13 21:30:00 BRST 2009
#
# America/Campo_Grande  Sun Apr 12 16:30:00 AMT 2009     Fri Feb 13 20:30:00 AMST 2009
# America/Cuiaba
#
# America/Porto_Velho Sun Apr 12 16:30:00 AMT 2009     Fri Feb 13 19:30:00 AMT 2009
# America/Boa_Vista
# America/Manaus
# America/Eirunepe
# America/Rio_Branco
BR	-2332-04637	America/Sao_Paulo	S & SE Brazil (GO, DF, MG, ES, RJ, SP, PR, SC, RS)
BR	-0127-04829	America/Belem	Amapa, E Para
BR	-0846-06354	America/Porto_Velho	Rondonia
BR	-0351-03225	America/Noronha	Atlantic islands
BR	-2027-05437	America/Campo_Grande	Mato Grosso do Sul

# MCC=730, Chilie (CL), 2 distinct Olson names
CL	-3327-07040	America/Santiago	most locations
CL	-2709-10926	Pacific/Easter	Easter Island & Sala y Gomez

# MCC=740, Ecuador (EC), 2 distinct Olson names
EC	-0210-07950	America/Guayaquil	mainland
EC	-0054-08936	Pacific/Galapagos	Galapagos Islands
